,Unnamed: 0,Rk,Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,all_nba
21,176,133,Donte DiVincenzo,SG,66,1520,232,510,0.455,83,247,0.336,149,263,0.567,0.536,63,86,0.733,66,252,318,154,85,20,90,113,610,14.1,0.557,0.484,0.169,4.6,15.5,10.3,13.6,2.6,1.2,14.1,17.3,1.0,3.2,4.3,0.135,-1.1,2.4,1.3,1.3,0.0
22,192,147,James Ennis III,SF-SG,69,1265,160,359,0.446,55,169,0.325,105,190,0.553,0.522,79,98,0.806,71,174,245,63,35,22,58,137,454,11.5,0.565,0.471,0.273,6.1,15.3,10.6,7.0,1.3,1.5,12.6,15.7,1.0,1.4,2.4,0.09,-2.2,-0.4,-2.6,-0.2,0.0
23,208,157,Dorian Finney-Smith,PF,71,2120,243,522,0.466,114,303,0.376,129,219,0.589,0.575,78,108,0.722,145,260,405,114,45,39,69,178,678,12.3,0.595,0.58,0.207,7.3,12.7,10.0,7.2,1.0,1.6,10.8,12.9,3.3,1.5,4.9,0.11,0.1,-0.3,-0.2,0.9,0.0
24,210,159,Evan Fournier,SF,66,2076,434,929,0.467,173,434,0.399,261,495,0.527,0.56,180,220,0.818,18,153,171,209,71,15,125,161,1221,16.4,0.595,0.467,0.237,0.9,8.2,4.4,16.6,1.7,0.7,10.9,23.9,2.9,1.7,4.6,0.106,1.4,-0.4,1.0,1.6,0.0
25,216,165,Markelle Fultz,PG,72,1996,359,772,0.465,36,135,0.267,323,637,0.507,0.488,116,159,0.73,41,197,238,369,90,11,147,142,870,14.3,0.517,0.175,0.206,2.1,11.0,6.4,29.0,2.2,0.5,14.9,21.4,0.6,2.0,2.7,0.065,-1.8,0.0,-1.8,0.1,0.0
26,222,169,Langston Galloway,SG,66,1702,236,542,0.435,132,331,0.399,104,211,0.493,0.557,73,85,0.859,33,116,149,101,48,11,40,96,677,12.3,0.584,0.611,0.157,2.2,7.8,5.0,8.8,1.4,0.5,6.5,15.9,2.4,0.7,3.1,0.087,0.0,-0.9,-0.8,0.5,0.0
27,225,172,Rudy Gay,PF,67,1461,266,596,0.446,74,220,0.336,192,376,0.511,0.508,120,136,0.882,61,301,362,114,35,33,88,103,726,15.4,0.553,0.369,0.228,4.5,22.2,13.4,11.3,1.1,2.0,11.8,22.0,0.9,1.1,2.1,0.068,0.0,-0.9,-0.8,0.4,0.0
28,229,176,Shai Gilgeous-Alexander,SG,70,2428,478,1015,0.471,87,251,0.347,391,764,0.512,0.514,288,357,0.807,47,365,412,232,79,47,134,117,1331,17.7,0.568,0.247,0.352,2.2,16.1,9.4,15.2,1.6,1.7,10.3,23.7,3.1,3.0,6.1,0.121,1.3,0.4,1.7,2.2,0.0
29,230,177,Rudy Gobert,C,68,2333,386,557,0.693,0,0,,386,557,0.693,0.693,254,403,0.63,230,686,916,101,51,135,130,215,1026,21.7,0.699,0.0,0.724,11.2,31.3,21.6,6.5,1.1,4.8,15.0,16.2,6.5,4.2,10.7,0.221,1.7,1.9,3.6,3.3,0.0
30,238,183,Jerami Grant,PF,71,1892,303,634,0.478,98,252,0.389,205,382,0.537,0.555,147,196,0.75,58,190,248,88,50,57,63,154,851,14.4,0.591,0.397,0.309,3.4,11.2,7.3,6.6,1.3,2.8,8.0,18.0,2.8,1.6,4.4,0.111,0.1,-0.6,-0.5,0.7,0.0
31,241,186,Danny Green,SG,68,1687,197,474,0.416,120,327,0.367,77,147,0.524,0.542,33,48,0.688,51,174,225,91,85,32,63,136,547,10.8,0.552,0.69,0.101,3.3,11.2,7.3,7.1,2.4,1.7,11.3,13.9,0.8,2.5,3.4,0.096,-1.1,1.5,0.5,1.1,0.0
32,257,198,Tim Hardaway Jr.,SG,71,2091,384,884,0.434,204,513,0.398,180,371,0.485,0.55,149,182,0.819,25,207,232,137,41,5,69,125,1121,14.5,0.581,0.58,0.206,1.3,10.2,5.8,9.7,0.9,0.2,6.7,21.1,3.4,1.1,4.4,0.102,1.2,-1.4,-0.1,1.0,0.0
33,258,199,James Harden,SG,68,2483,672,1514,0.444,299,843,0.355,373,671,0.556,0.543,692,800,0.865,70,376,446,512,125,60,308,227,2335,29.1,0.626,0.557,0.528,2.9,16.0,9.4,35.9,2.3,2.1,14.2,36.3,9.9,3.2,13.1,0.254,8.1,1.6,9.6,7.3,0.0
34,265,204,Joe Harris,SF,69,2123,381,784,0.486,172,406,0.424,209,378,0.553,0.596,64,89,0.719,64,234,298,144,41,17,104,159,998,13.3,0.606,0.518,0.114,3.2,11.2,7.3,10.4,0.9,0.7,11.2,18.3,2.5,1.8,4.3,0.097,0.4,-0.6,-0.2,1.0,0.0
35,266,205,Tobias Harris,PF,72,2469,553,1173,0.471,131,357,0.367,422,816,0.517,0.527,174,216,0.806,69,426,495,227,53,40,104,165,1411,17.2,0.556,0.304,0.184,3.1,19.1,11.1,14.6,1.0,1.4,7.6,23.9,3.5,2.7,6.2,0.121,1.3,-0.5,0.8,1.8,0.0
36,268,207,Josh Hart,SF,65,1755,225,532,0.423,121,354,0.342,104,178,0.584,0.537,85,115,0.739,61,364,425,108,63,23,75,160,656,11.9,0.563,0.665,0.216,3.7,22.1,12.8,8.2,1.7,1.1,11.4,15.3,1.3,1.8,3.1,0.085,-1.1,0.4,-0.7,0.6,0.0
37,284,219,Buddy Hield,SG,72,2216,498,1162,0.429,271,688,0.394,227,474,0.479,0.545,115,136,0.846,57,271,328,213,66,17,168,165,1382,16.0,0.566,0.592,0.117,2.8,14.1,8.3,15.5,1.4,0.7,12.1,27.2,1.4,1.5,3.0,0.064,2.5,-1.4,1.1,1.7,0.0
38,290,223,Aaron Holiday,PG,66,1617,233,563,0.414,87,221,0.394,146,342,0.427,0.491,74,87,0.851,22,134,156,225,55,16,88,120,627,11.6,0.521,0.393,0.155,1.5,9.0,5.3,19.1,1.7,0.9,12.8,18.7,0.4,1.7,2.1,0.063,-1.6,0.0,-1.6,0.2,0.0
39,292,225,Justin Holiday,SF,73,1826,208,486,0.428,134,331,0.405,74,155,0.477,0.566,53,67,0.791,32,206,238,93,87,46,44,137,603,12.1,0.585,0.681,0.138,1.9,12.2,7.1,6.7,2.3,2.2,7.9,13.4,1.6,2.6,4.2,0.112,-0.5,1.8,1.3,1.5,0.0
40,296,229,Al Horford,C,67,2025,319,709,0.45,99,283,0.35,220,426,0.516,0.52,61,80,0.763,103,353,456,270,52,61,80,142,798,15.7,0.536,0.399,0.113,5.6,19.3,12.4,19.2,1.2,2.6,9.7,17.5,2.8,2.6,5.4,0.128,1.3,1.0,2.2,2.2,0.0
41,299,232,Dwight Howard,C,69,1306,202,277,0.729,3,5,0.6,199,272,0.732,0.735,110,214,0.514,172,335,507,45,31,79,84,222,517,18.7,0.696,0.018,0.773,14.6,27.8,21.2,4.8,1.1,5.4,18.5,14.7,2.8,2.6,5.4,0.197,-1.0,1.2,0.2,0.7,0.0
42,307,240,Joe Ingles,PF,72,2137,246,553,0.445,141,353,0.399,105,200,0.525,0.572,74,94,0.787,27,251,278,373,65,11,142,154,707,12.6,0.595,0.638,0.17,1.4,12.5,7.2,24.4,1.5,0.4,19.3,15.1,2.7,2.1,4.8,0.108,0.1,0.7,0.7,1.5,0.0
43,315,248,Justin Jackson,PF,65,1045,135,341,0.396,48,163,0.294,87,178,0.489,0.466,42,50,0.84,27,127,154,52,15,10,14,69,360,9.5,0.496,0.478,0.147,2.7,12.6,7.7,6.8,0.7,0.8,3.7,15.4,0.6,0.6,1.2,0.054,-2.1,-1.3,-3.4,-0.4,0.0
44,320,251,LeBron James,PG,67,2316,643,1303,0.493,148,425,0.348,495,878,0.564,0.55,264,381,0.693,66,459,525,684,78,36,261,118,1698,25.5,0.577,0.326,0.292,3.2,21.5,12.4,49.1,1.6,1.4,15.1,31.5,6.2,3.6,9.8,0.204,6.6,1.8,8.4,6.1,0.0
45,335,262,Nikola Jokić,C,73,2336,565,1071,0.528,80,255,0.314,485,816,0.594,0.565,246,301,0.817,166,545,711,512,85,44,226,222,1456,24.9,0.605,0.238,0.281,8.0,26.1,17.1,35.2,1.8,1.7,15.8,26.6,6.7,3.1,9.8,0.202,5.5,2.0,7.4,5.5,0.0
46,338,265,Tyus Jones,PG,65,1232,197,429,0.459,47,124,0.379,150,305,0.492,0.514,43,58,0.741,9,94,103,285,59,6,55,44,484,15.7,0.532,0.289,0.135,0.8,7.9,4.4,32.0,2.2,0.4,10.8,17.2,1.9,1.1,3.0,0.117,0.4,0.2,0.6,0.8,0.0
47,340,267,Cory Joseph,PG,72,1759,171,412,0.415,56,159,0.352,115,253,0.455,0.483,60,70,0.857,44,144,188,251,53,21,80,133,458,10.1,0.517,0.386,0.17,2.7,9.4,6.0,19.1,1.5,1.1,15.3,12.9,1.2,1.1,2.3,0.062,-2.1,0.1,-2.0,0.0,0.0
48,349,274,Maxi Kleber,PF,74,1890,237,514,0.461,119,319,0.373,118,195,0.605,0.577,79,93,0.849,112,276,388,88,25,83,58,176,672,13.6,0.605,0.621,0.181,6.3,15.1,10.8,6.3,0.6,3.8,9.5,13.9,3.2,1.7,4.8,0.123,0.4,0.0,0.4,1.1,0.0
49,353,276,Kevin Knox,SF,65,1166,144,401,0.359,65,199,0.327,79,202,0.391,0.44,66,101,0.653,28,156,184,61,23,28,45,106,419,8.3,0.47,0.496,0.252,2.5,14.7,8.4,7.4,1.0,2.3,9.2,17.8,-0.5,0.7,0.2,0.007,-3.1,-1.1,-4.2,-0.7,0.0
50,355,278,Furkan Korkmaz,SG,72,1559,242,563,0.43,143,356,0.402,99,207,0.478,0.557,77,102,0.755,18,150,168,79,41,16,59,98,704,12.0,0.579,0.632,0.181,1.3,10.6,6.0,7.3,1.3,0.9,8.8,18.4,1.4,1.4,2.8,0.085,-0.4,-1.0,-1.3,0.3,0.0
51,376,297,Damian Lillard,PG,66,2474,624,1349,0.463,270,674,0.401,354,675,0.524,0.563,460,518,0.888,33,251,284,530,70,22,194,114,1978,26.9,0.627,0.5,0.384,1.4,10.5,6.0,34.4,1.3,0.8,11.0,30.3,10.9,0.7,11.6,0.225,8.3,-0.9,7.5,5.9,0.0
52,379,300,Brook Lopez,C,68,1817,292,671,0.435,102,325,0.314,190,346,0.549,0.511,127,152,0.836,58,254,312,99,46,163,70,163,813,15.0,0.551,0.484,0.227,3.4,13.0,8.5,7.4,1.2,7.9,8.7,18.3,1.4,4.1,5.5,0.145,-0.4,2.5,2.0,1.9,0.0
53,380,301,Robin Lopez,C,66,958,147,299,0.492,35,105,0.333,112,194,0.577,0.55,28,53,0.528,56,105,161,45,10,45,63,96,357,10.2,0.554,0.351,0.177,6.2,10.2,8.3,6.3,0.5,4.1,16.4,16.6,-0.1,1.6,1.5,0.077,-3.0,0.4,-2.6,-0.2,0.0
54,399,320,Wesley Matthews,SG,67,1635,167,422,0.396,108,297,0.364,59,125,0.472,0.524,52,68,0.765,22,144,166,92,38,9,43,103,494,8.1,0.547,0.704,0.161,1.4,8.2,5.0,7.1,1.1,0.5,8.7,12.5,0.8,2.4,3.2,0.093,-2.6,0.7,-1.8,0.1,0.0
55,402,323,CJ McCollum,SG,70,2556,611,1356,0.451,194,512,0.379,417,844,0.494,0.522,140,185,0.757,46,251,297,310,54,42,127,183,1556,17.0,0.541,0.378,0.136,1.9,10.2,6.1,19.1,1.0,1.4,8.1,25.9,3.5,0.6,4.1,0.077,2.3,-1.8,0.5,1.6,0.0
56,403,324,T.J. McConnell,PG,71,1326,212,411,0.516,5,17,0.294,207,394,0.525,0.522,35,42,0.833,38,151,189,355,56,11,100,73,464,16.5,0.54,0.041,0.102,3.2,12.4,7.8,37.6,2.0,0.7,18.9,17.5,1.7,1.7,3.3,0.121,0.1,0.4,0.5,0.8,0.0
57,405,326,Doug McDermott,PF,69,1372,267,547,0.488,128,294,0.435,139,253,0.549,0.605,48,58,0.828,26,148,174,78,12,5,42,117,710,14.4,0.62,0.537,0.106,2.1,11.7,7.0,8.4,0.4,0.3,6.8,19.6,2.3,1.1,3.3,0.117,1.4,-1.3,0.0,0.7,0.0
58,406,327,JaVale McGee,C,68,1130,195,306,0.637,3,6,0.5,192,300,0.64,0.642,53,82,0.646,125,265,390,37,36,94,55,159,446,19.4,0.652,0.02,0.268,12.2,25.4,18.9,4.6,1.5,7.5,13.9,14.8,2.2,2.4,4.7,0.198,-0.6,2.1,1.5,1.0,0.0
59,410,331,Ben McLemore,SF,71,1619,242,545,0.444,181,452,0.4,61,93,0.656,0.61,50,67,0.746,21,136,157,58,45,16,50,155,715,11.8,0.622,0.829,0.123,1.3,8.9,5.1,5.2,1.3,0.8,8.0,16.0,2.2,1.1,3.3,0.099,0.1,-0.6,-0.5,0.6,0.0
60,422,340,Patty Mills,PG,66,1485,258,598,0.431,154,403,0.382,104,195,0.533,0.56,97,112,0.866,22,86,108,118,53,6,54,105,767,14.8,0.592,0.674,0.187,1.6,6.2,3.9,11.4,1.7,0.4,7.7,20.4,2.3,0.5,2.8,0.091,1.2,-1.2,0.0,0.8,0.0
61,425,343,Donovan Mitchell,SG,69,2364,602,1342,0.449,173,473,0.366,429,869,0.494,0.513,278,322,0.863,53,251,304,294,70,14,184,172,1655,18.8,0.558,0.352,0.24,2.6,11.3,7.1,21.6,1.4,0.5,11.0,30.8,3.2,2.2,5.4,0.11,2.4,-0.6,1.9,2.3,0.0
62,431,349,Ja Morant,PG,67,2074,447,937,0.477,60,179,0.335,387,758,0.511,0.509,239,308,0.776,51,208,259,488,58,18,220,110,1193,17.4,0.556,0.191,0.329,2.6,10.4,6.6,35.2,1.3,0.8,17.0,25.9,2.3,1.5,3.8,0.088,1.4,-1.2,0.3,1.2,0.0
63,439,353,Monte Morris,PG,73,1636,260,566,0.459,65,172,0.378,195,394,0.495,0.517,75,89,0.843,24,113,137,255,55,17,53,73,660,14.9,0.545,0.304,0.157,1.6,7.7,4.7,22.1,1.7,1.0,8.1,17.5,2.7,1.1,3.8,0.112,0.4,-0.5,-0.2,0.7,0.0
64,443,357,Dejounte Murray,PG,66,1687,294,637,0.462,41,111,0.369,253,526,0.481,0.494,91,114,0.798,69,314,383,271,111,17,125,143,720,16.2,0.524,0.174,0.179,4.4,20.1,12.2,23.1,3.1,0.9,15.4,20.8,0.7,2.0,2.6,0.074,-0.9,1.3,0.4,1.0,0.0
65,455,367,Georges Niang,PF,66,923,141,322,0.438,90,225,0.4,51,97,0.526,0.578,20,24,0.833,15,112,127,44,18,5,30,75,392,11.7,0.589,0.699,0.075,1.9,12.9,7.6,7.0,0.9,0.4,8.3,17.2,1.0,0.8,1.8,0.092,0.4,-0.5,-0.1,0.4,0.0
66,463,373,Kendrick Nunn,PG,67,1962,401,914,0.439,137,391,0.35,264,523,0.505,0.514,85,100,0.85,21,159,180,220,56,15,114,152,1024,12.9,0.534,0.428,0.109,1.2,8.7,5.1,18.5,1.4,0.8,10.6,24.1,0.4,1.6,2.0,0.049,-1.0,-1.3,-2.3,-0.1,0.0
67,466,376,Royce O'Neale,SF,71,2049,158,365,0.433,92,244,0.377,66,121,0.545,0.559,42,55,0.764,27,362,389,180,59,32,61,202,450,9.5,0.578,0.668,0.151,1.5,18.8,10.4,11.6,1.4,1.3,13.5,9.6,1.8,2.5,4.3,0.101,-1.3,2.2,0.9,1.5,0.0
68,468,378,Semi Ojeleye,PF,69,1011,80,196,0.408,48,127,0.378,32,69,0.464,0.531,28,32,0.875,26,119,145,37,21,5,19,80,236,7.7,0.562,0.648,0.163,2.8,12.5,7.7,4.7,1.0,0.5,8.3,9.7,0.8,1.0,1.9,0.088,-2.1,0.4,-1.7,0.1,0.0
69,474,384,Kelly Olynyk,C,67,1300,184,398,0.462,95,234,0.406,89,164,0.543,0.582,86,100,0.86,44,261,305,116,45,23,71,173,549,14.6,0.621,0.588,0.251,3.9,21.6,13.1,13.3,1.7,1.8,13.8,17.4,1.9,1.8,3.7,0.135,0.0,1.0,1.0,1.0,0.0
70,476,386,Cedi Osman,SF,65,1910,266,609,0.437,123,321,0.383,143,288,0.497,0.538,63,94,0.67,39,192,231,154,54,16,91,160,718,10.7,0.552,0.527,0.154,2.2,11.3,6.7,11.6,1.4,0.7,12.3,16.6,1.0,0.6,1.6,0.04,-1.7,-0.9,-2.6,-0.3,0.0
71,488,396,Chris Paul,PG,70,2208,434,887,0.489,111,304,0.365,323,583,0.554,0.552,253,279,0.907,26,323,349,472,111,11,161,158,1232,21.7,0.61,0.343,0.315,1.3,15.7,8.7,34.0,2.4,0.4,13.8,23.3,5.9,3.0,8.9,0.193,3.0,1.4,4.4,3.5,0.0
72,495,403,Jakob Poeltl,C,66,1171,166,266,0.624,0,0,,166,266,0.624,0.624,40,86,0.465,131,244,375,116,37,95,54,126,372,19.1,0.612,0.0,0.323,12.1,22.5,17.3,13.6,1.5,7.1,15.1,13.2,2.4,1.6,4.0,0.163,0.5,2.0,2.5,1.3,0.0
73,502,410,Bobby Portis,PF,66,1393,265,589,0.45,67,187,0.358,198,402,0.493,0.507,71,93,0.763,80,258,338,98,32,18,73,110,668,14.6,0.53,0.317,0.158,6.0,20.4,12.9,11.1,1.1,1.2,10.4,21.4,0.9,1.0,1.9,0.064,0.0,-1.1,-1.1,0.3,0.0
74,514,422,Austin Rivers,SG,68,1594,211,501,0.421,96,270,0.356,115,231,0.498,0.517,78,111,0.703,27,148,175,113,49,10,50,129,596,10.4,0.542,0.539,0.222,1.8,9.8,5.8,10.0,1.4,0.5,8.3,15.6,1.2,1.2,2.4,0.072,-2.1,-0.4,-2.5,-0.2,0.0
75,516,424,Duncan Robinson,SG,73,2166,323,687,0.47,270,606,0.446,53,81,0.654,0.667,67,72,0.931,10,222,232,102,35,19,70,193,983,13.1,0.684,0.882,0.105,0.5,11.0,6.0,7.1,0.8,0.9,8.9,16.0,3.7,1.6,5.3,0.118,1.5,-1.0,0.5,1.3,0.0
76,528,432,Terrence Ross,SG,69,1889,341,846,0.403,177,504,0.351,164,342,0.48,0.508,157,184,0.853,13,209,222,82,77,24,70,109,1016,14.0,0.548,0.596,0.217,0.7,12.3,6.3,6.8,2.0,1.1,7.0,22.8,1.1,2.0,3.0,0.077,-0.1,-0.3,-0.4,0.8,0.0
77,530,434,Ricky Rubio,PG,65,2016,287,692,0.415,78,216,0.361,209,476,0.439,0.471,195,226,0.863,46,258,304,570,94,11,173,167,847,16.5,0.535,0.312,0.327,2.5,14.4,8.4,39.7,2.2,0.5,17.9,20.4,2.9,2.0,4.9,0.117,0.7,0.2,1.0,1.5,0.0
78,537,439,Dario Šarić,PF,66,1632,256,538,0.476,84,235,0.357,172,303,0.568,0.554,108,128,0.844,100,306,406,123,37,16,88,156,704,14.2,0.592,0.437,0.238,6.7,21.1,13.8,10.8,1.1,0.9,12.9,17.8,2.1,1.5,3.6,0.105,-0.1,-0.3,-0.4,0.7,0.0
79,538,440,Tomáš Satoranský,SG,65,1878,237,551,0.43,64,199,0.322,173,352,0.491,0.488,106,121,0.876,76,178,254,354,80,7,130,135,644,13.5,0.533,0.361,0.22,4.3,11.0,7.5,27.1,2.1,0.4,17.7,16.7,1.8,1.7,3.5,0.09,-1.1,-0.2,-1.2,0.4,0.0
80,540,442,Dennis Schröder,PG,65,1999,453,965,0.469,125,325,0.385,328,640,0.513,0.534,198,236,0.839,19,217,236,262,45,14,166,146,1229,16.7,0.575,0.337,0.245,1.1,11.6,6.5,21.9,1.1,0.6,13.4,27.2,1.9,1.8,3.6,0.087,1.1,-1.1,-0.1,1.0,0.0
81,541,443,Mike Scott,PF,68,1207,149,350,0.426,80,217,0.369,69,133,0.519,0.54,30,37,0.811,65,183,248,56,21,5,26,96,408,11.2,0.557,0.62,0.106,5.9,16.8,11.3,6.4,0.8,0.4,6.6,14.0,1.4,1.1,2.5,0.1,-0.7,-1.1,-1.8,0.1,0.0
82,543,445,Collin Sexton,PG,65,2143,513,1086,0.472,97,255,0.38,416,831,0.501,0.517,226,267,0.846,61,143,204,192,65,7,158,142,1349,16.3,0.56,0.235,0.246,3.1,7.5,5.3,15.1,1.5,0.3,11.6,27.2,2.1,0.4,2.5,0.057,0.3,-2.1,-1.8,0.1,0.0
