Rk,Player,Season,Pos,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Balance,all_nba
9,Derek Anderson,2005,SG,MIA,23,465,40,130,0.308,21,67,0.313,19,63,0.302,0.388,32,38,0.842,9,51,60,48,8,2,17,49,133,8.7,0.453,0.515,0.292,2.4,12.4,7.6,15.1,0.9,0.3,10.4,16.3,0.2,0.4,0.6,0.061,-2.4,-0.7,-3.1,-0.1,0.6341463414634146,0.0
10,Shandon Anderson,2005,SF,MIA,48,638,54,126,0.429,5,19,0.263,49,107,0.458,0.448,13,18,0.722,18,63,81,30,17,6,24,75,126,6.2,0.47,0.151,0.143,3.5,11.1,7.5,6.9,1.4,0.7,15.2,11.4,-0.1,0.7,0.5,0.039,-4.1,0.4,-3.7,-0.3,0.6341463414634146,0.0
11,Martynas Andriuškevičius,2005,C,CLE,6,9,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,1,3,4,0,2,0,0,1,0,15.5,0.0,0.0,0.0,13.0,39.8,26.3,0.0,11.9,0.0,0.0,5.1,0.0,0.0,0.0,0.155,-1.8,7.0,5.2,0.0,0.6097560975609756,0.0
12,Carmelo Anthony,2005,SF,DEN,80,2941,756,1572,0.481,37,152,0.243,719,1420,0.506,0.493,573,709,0.808,122,272,394,216,88,42,218,229,2122,22.0,0.563,0.097,0.451,4.9,10.7,7.8,14.3,1.5,1.1,10.4,32.0,6.8,2.6,9.4,0.153,3.5,-0.9,2.7,3.5,0.5365853658536586,3.0
13,Rafael Araújo,2005,C,TOR,52,601,53,145,0.366,0,1,0.0,53,144,0.368,0.366,15,28,0.536,43,101,144,15,24,6,42,104,121,4.5,0.385,0.007,0.193,8.4,21.5,14.6,3.7,2.1,0.8,21.1,15.3,-1.2,0.4,-0.8,-0.066,-6.7,-1.0,-7.7,-0.9,0.3292682926829268,0.0
14,Gilbert Arenas,2005,PG,WAS,80,3384,746,1668,0.447,199,540,0.369,547,1128,0.485,0.507,655,799,0.82,59,221,280,484,161,25,297,286,2346,23.8,0.581,0.324,0.479,2.0,7.8,4.8,27.0,2.5,0.6,12.8,30.5,11.0,2.6,13.6,0.193,5.4,0.0,5.4,6.3,0.5121951219512195,3.0
15,Trevor Ariza,2005,SF,TOT,57,999,93,226,0.412,1,5,0.2,92,221,0.416,0.414,77,127,0.606,78,140,218,61,57,11,62,100,264,11.8,0.468,0.022,0.562,9.6,17.1,13.3,9.8,3.0,0.9,18.0,15.8,-0.1,1.0,0.9,0.043,-1.8,1.1,-0.7,0.3,,0.0
15,Trevor Ariza,2005,SF,NYK,36,709,61,146,0.418,1,3,0.333,60,143,0.42,0.421,42,77,0.545,49,88,137,46,43,9,46,78,165,10.2,0.459,0.021,0.527,8.3,15.3,11.7,10.4,3.2,1.0,20.4,14.4,-0.4,0.6,0.3,0.02,-2.4,1.5,-0.9,0.2,0.2804878048780488,0.0
15,Trevor Ariza,2005,SF,ORL,21,290,32,80,0.4,0,2,0.0,32,78,0.41,0.4,35,50,0.7,29,52,81,15,14,2,16,22,99,15.8,0.485,0.025,0.625,12.7,21.5,17.3,8.3,2.6,0.5,13.6,19.3,0.2,0.4,0.6,0.101,-0.2,0.0,-0.3,0.1,0.4390243902439024,0.0
16,Darrell Armstrong,2005,PG,DAL,62,622,43,128,0.336,11,48,0.229,32,80,0.4,0.379,33,42,0.786,18,63,81,86,27,3,58,71,130,7.3,0.444,0.375,0.328,3.6,12.0,7.8,20.6,2.4,0.4,28.4,15.4,-0.7,0.7,0.0,0.003,-4.2,0.2,-4.0,-0.3,0.7317073170731707,0.0
17,Carlos Arroyo,2005,PG-SG,TOT,77,1194,168,378,0.444,7,20,0.35,161,358,0.45,0.454,106,137,0.774,33,97,130,232,38,4,83,119,449,15.6,0.512,0.053,0.362,3.3,9.8,6.6,31.6,1.7,0.2,15.9,20.7,1.6,1.1,2.7,0.107,-0.1,-0.4,-0.5,0.5,,0.0
17,Carlos Arroyo,2005,PG,DET,50,600,57,157,0.363,2,6,0.333,55,151,0.364,0.369,42,58,0.724,24,46,70,155,19,3,45,77,158,12.5,0.433,0.038,0.369,4.7,9.2,6.9,39.3,1.8,0.4,19.8,18.0,0.3,0.7,1.0,0.079,-2.1,-0.1,-2.2,0.0,0.7804878048780488,0.0
17,Carlos Arroyo,2005,SG,ORL,27,594,111,221,0.502,5,14,0.357,106,207,0.512,0.514,64,79,0.81,9,51,60,77,19,1,38,42,291,18.8,0.569,0.063,0.357,1.9,10.3,6.2,23.8,1.7,0.1,12.9,23.4,1.3,0.4,1.7,0.135,1.9,-0.6,1.3,0.5,0.4390243902439024,0.0
18,Chucky Atkins,2005,PG-SG,TOT,71,1713,226,573,0.394,97,274,0.354,129,299,0.431,0.479,129,163,0.791,23,97,120,198,43,2,87,152,678,12.9,0.526,0.478,0.284,1.6,6.8,4.2,20.0,1.4,0.1,11.9,20.2,2.1,1.4,3.6,0.1,-0.1,-0.8,-0.9,0.4,,0.0
18,Chucky Atkins,2005,SG,WAS,28,552,66,174,0.379,33,92,0.359,33,82,0.402,0.474,22,31,0.71,12,33,45,69,14,0,30,58,187,10.4,0.498,0.529,0.178,2.5,7.2,4.7,19.8,1.3,0.0,13.8,17.6,0.4,0.2,0.6,0.056,-0.6,-1.0,-1.6,0.0,0.5121951219512195,0.0
18,Chucky Atkins,2005,PG,MEM,43,1161,160,399,0.401,64,182,0.352,96,217,0.442,0.481,107,132,0.811,11,64,75,129,29,2,57,94,491,14.1,0.537,0.456,0.331,1.2,6.6,3.9,20.1,1.4,0.1,11.1,21.5,1.7,1.2,2.9,0.121,0.1,-0.8,-0.6,0.4,0.5975609756097561,0.0
19,Stacey Augmon,2005,SF,ORL,36,385,25,73,0.342,0,0,,25,73,0.342,0.342,21,30,0.7,18,35,53,23,12,6,11,40,71,7.6,0.412,0.0,0.411,5.9,10.9,8.5,9.0,1.7,1.2,11.3,12.0,0.0,0.3,0.3,0.033,-2.7,0.6,-2.1,0.0,0.4390243902439024,0.0
20,Vin Baker,2005,C,LAC,8,85,7,15,0.467,0,0,,7,15,0.467,0.467,13,18,0.722,2,17,19,4,4,4,9,13,27,11.2,0.589,0.0,1.2,2.9,22.2,13.0,7.0,2.5,3.5,28.2,17.4,0.0,0.2,0.1,0.072,-4.9,2.5,-2.4,0.0,0.573170731707317,0.0
21,Marcus Banks,2005,PG,TOT,58,1497,219,468,0.468,22,63,0.349,197,405,0.486,0.491,118,147,0.803,23,112,135,220,54,11,119,162,578,13.6,0.543,0.135,0.314,1.9,8.8,5.4,25.3,1.9,0.6,18.3,20.6,0.9,1.4,2.3,0.074,-1.4,-0.2,-1.7,0.1,,0.0
21,Marcus Banks,2005,PG,BOS,18,269,33,80,0.413,6,19,0.316,27,61,0.443,0.45,27,30,0.9,4,15,19,32,7,0,23,38,99,9.4,0.531,0.238,0.375,1.9,6.6,4.3,19.2,1.4,0.0,19.8,19.9,0.0,0.1,0.2,0.033,-3.8,-2.0,-5.9,-0.3,0.4024390243902439,0.0
21,Marcus Banks,2005,PG,MIN,40,1228,186,388,0.479,16,44,0.364,170,344,0.494,0.5,91,117,0.778,19,97,116,188,47,11,96,124,479,14.5,0.545,0.113,0.302,1.9,9.2,5.7,26.6,2.1,0.7,17.9,20.7,0.8,1.3,2.1,0.083,-0.9,0.2,-0.7,0.4,0.4024390243902439,0.0
22,Leandro Barbosa,2005,SG,PHO,57,1592,273,567,0.481,87,196,0.444,186,371,0.501,0.558,111,147,0.755,31,119,150,158,48,6,89,145,744,15.1,0.589,0.346,0.259,2.2,8.1,5.2,14.4,1.5,0.3,12.3,20.3,2.6,1.2,3.8,0.115,0.4,-0.5,-0.1,0.8,0.6585365853658537,0.0
23,Matt Barnes,2005,PF-SF,TOT,56,631,70,140,0.5,3,15,0.2,67,125,0.536,0.511,32,47,0.681,48,73,121,28,20,7,30,100,175,10.7,0.545,0.107,0.336,8.9,13.7,11.3,7.0,1.6,0.8,15.7,13.8,0.5,0.4,1.0,0.075,-3.0,-0.1,-3.1,-0.2,,0.0
23,Matt Barnes,2005,SF,NYK,6,93,11,30,0.367,1,4,0.25,10,26,0.385,0.383,3,4,0.75,7,17,24,6,4,0,6,8,26,9.8,0.409,0.133,0.133,9.1,22.5,15.7,10.9,2.3,0.0,15.9,18.4,-0.1,0.1,0.0,-0.012,-2.3,1.1,-1.1,0.0,0.2804878048780488,0.0
23,Matt Barnes,2005,PF,PHI,50,538,59,110,0.536,2,11,0.182,57,99,0.576,0.545,29,43,0.674,41,56,97,22,16,7,24,92,149,10.8,0.578,0.1,0.391,8.9,12.2,10.5,6.3,1.5,1.0,15.7,13.0,0.6,0.4,1.0,0.09,-3.1,-0.3,-3.4,-0.2,0.4634146341463415,0.0
24,Andre Barrett,2005,PG,TOT,19,282,38,104,0.365,2,14,0.143,36,90,0.4,0.375,9,12,0.75,9,16,25,52,10,0,15,13,87,11.3,0.398,0.135,0.115,3.7,7.1,5.4,29.5,1.9,0.0,12.1,20.3,-0.1,0.0,-0.1,-0.019,-1.7,-2.0,-3.6,-0.1,,0.0
24,Andre Barrett,2005,PG,PHO,2,21,3,7,0.429,0,1,0.0,3,6,0.5,0.429,3,3,1.0,1,2,3,2,0,0,1,1,9,14.1,0.541,0.143,0.429,5.4,10.3,7.9,13.3,0.0,0.0,10.7,19.9,0.0,0.0,0.0,0.109,0.5,-2.4,-1.9,0.0,0.6585365853658537,0.0
24,Andre Barrett,2005,PG,TOR,17,261,35,97,0.361,2,13,0.154,33,84,0.393,0.371,6,9,0.667,8,14,22,50,10,0,14,12,78,11.0,0.386,0.134,0.093,3.6,6.8,5.2,30.9,2.0,0.0,12.2,20.4,-0.2,0.0,-0.2,-0.029,-1.9,-1.9,-3.8,-0.1,0.3292682926829268,0.0
25,Earl Barron,2005,C,MIA,8,45,5,16,0.313,0,0,,5,16,0.313,0.313,3,4,0.75,2,8,10,0,0,0,5,10,13,-2.8,0.366,0.0,0.25,5.5,20.1,13.1,0.0,0.0,0.0,22.0,23.4,-0.2,0.0,-0.2,-0.167,-13.4,-4.3,-17.7,-0.2,0.6341463414634146,0.0
26,Brent Barry,2005,SG,SAS,74,1259,156,345,0.452,80,202,0.396,76,143,0.531,0.568,39,59,0.661,29,130,159,123,39,27,52,99,431,14.8,0.581,0.586,0.171,2.8,11.9,7.5,15.5,1.7,1.5,12.3,16.0,2.1,2.2,4.3,0.162,1.4,2.0,3.4,1.7,0.7682926829268293,0.0
27,Jon Barry,2005,SG,HOU,20,342,25,65,0.385,12,32,0.375,13,33,0.394,0.477,24,29,0.828,1,30,31,26,13,1,22,25,86,8.5,0.553,0.492,0.446,0.3,10.1,5.3,12.5,2.1,0.2,22.1,13.9,0.0,0.4,0.4,0.055,-3.0,1.5,-1.5,0.0,0.4146341463414634,0.0
28,Eddie Basden,2005,SF,CHI,19,141,15,37,0.405,1,7,0.143,14,30,0.467,0.419,8,10,0.8,7,21,28,8,9,2,9,17,39,10.3,0.471,0.189,0.27,5.7,17.0,11.4,8.8,3.3,1.1,17.9,16.1,-0.1,0.3,0.2,0.065,-3.9,3.2,-0.6,0.0,0.5,0.0
29,Brandon Bass,2005,PF,NOK,29,268,28,70,0.4,0,0,,28,70,0.4,0.4,12,19,0.632,18,50,68,3,3,7,11,18,68,9.1,0.434,0.0,0.271,7.8,22.8,15.1,1.8,0.6,2.2,12.3,15.6,-0.2,0.3,0.1,0.013,-3.6,-1.4,-5.0,-0.2,0.4634146341463415,0.0
30,Esteban Batista,2005,PF,ATL,57,495,34,80,0.425,0,1,0.0,34,79,0.43,0.425,33,53,0.623,61,83,144,7,15,11,38,111,101,7.1,0.489,0.013,0.663,14.4,20.7,17.5,2.1,1.6,1.7,26.9,13.0,-0.2,0.3,0.1,0.011,-6.2,-1.7,-7.9,-0.7,0.3170731707317073,0.0
31,Tony Battie,2005,C,ORL,82,2215,280,552,0.507,0,6,0.0,280,546,0.513,0.507,89,134,0.664,145,312,457,49,46,69,88,250,649,12.2,0.531,0.011,0.243,8.3,16.9,12.7,3.7,1.1,2.5,12.6,14.9,1.7,2.2,3.8,0.083,-1.7,0.0,-1.8,0.1,0.4390243902439024,0.0
32,Shane Battier,2005,SF,MEM,81,2839,303,621,0.488,65,165,0.394,238,456,0.522,0.54,147,208,0.707,164,265,429,136,92,114,90,223,818,14.7,0.574,0.266,0.335,7.1,11.2,9.2,8.2,1.8,3.2,11.2,13.7,4.6,4.5,9.1,0.153,0.8,1.8,2.6,3.3,0.5975609756097561,0.0
33,Lonny Baxter,2005,C-PF,TOT,41,400,45,104,0.433,0,0,,45,104,0.433,0.433,28,35,0.8,45,72,117,4,11,8,20,56,118,11.9,0.494,0.0,0.337,13.2,21.3,17.1,1.7,1.5,1.6,14.3,16.2,0.1,0.6,0.7,0.088,-3.7,-0.8,-4.5,-0.2,,0.0
33,Lonny Baxter,2005,C,HOU,23,281,33,72,0.458,0,0,,33,72,0.458,0.458,16,19,0.842,38,46,84,2,9,7,13,48,82,13.1,0.51,0.0,0.264,16.1,18.9,17.5,1.3,1.7,2.0,13.9,15.8,0.2,0.5,0.7,0.119,-3.6,-0.6,-4.2,-0.1,0.4146341463414634,0.0
33,Lonny Baxter,2005,PF,CHA,18,119,12,32,0.375,0,0,,12,32,0.375,0.375,12,16,0.75,7,26,33,2,2,1,7,8,36,9.2,0.461,0.0,0.5,6.4,27.1,16.1,2.6,0.9,0.7,15.2,17.2,-0.1,0.1,0.0,0.014,-3.8,-1.3,-5.2,-0.1,0.3170731707317073,0.0
34,Charlie Bell,2005,SG,MIL,59,1283,180,410,0.439,71,168,0.423,109,242,0.45,0.526,63,89,0.708,21,99,120,130,59,5,41,126,494,14.7,0.55,0.41,0.217,1.9,9.3,5.6,16.6,2.4,0.3,8.4,17.5,2.2,1.1,3.3,0.123,0.1,0.8,1.0,0.9,0.4878048780487805,0.0
35,Raja Bell,2005,SG,PHO,79,2959,425,930,0.457,197,446,0.442,228,484,0.471,0.563,115,146,0.788,44,209,253,207,76,22,89,248,1162,12.9,0.584,0.48,0.157,1.7,7.7,4.7,9.8,1.3,0.5,8.2,16.4,4.7,2.1,6.8,0.11,0.2,0.1,0.2,1.6,0.6585365853658537,0.0
36,Jonathan Bender,2005,SF,IND,2,21,4,5,0.8,0,0,,4,5,0.8,0.8,2,2,1.0,0,4,4,2,0,1,0,2,10,26.4,0.85,0.0,0.4,0.0,21.3,11.0,18.5,0.0,3.5,0.0,13.0,0.1,0.0,0.2,0.359,5.9,3.9,9.8,0.1,0.5,0.0
37,Mike Bibby,2005,PG,SAC,82,3167,597,1382,0.432,192,497,0.386,405,885,0.458,0.501,342,403,0.849,29,211,240,444,82,10,199,169,1728,17.9,0.554,0.36,0.292,1.1,7.7,4.4,25.2,1.4,0.2,11.3,25.4,6.0,2.4,8.4,0.127,2.7,-1.2,1.5,2.8,0.5365853658536586,0.0
38,Andris Biedriņš,2005,C,GSW,68,1000,118,185,0.638,0,0,,118,185,0.638,0.638,22,72,0.306,124,159,283,24,23,47,34,190,258,13.6,0.595,0.0,0.389,13.5,18.2,15.8,3.9,1.2,3.5,13.6,11.2,1.6,1.3,2.9,0.137,-2.3,0.6,-1.6,0.1,0.4146341463414634,0.0
39,Chauncey Billups,2005,PG,DET,81,2925,423,1012,0.418,184,425,0.433,239,587,0.407,0.509,465,520,0.894,41,211,252,699,71,8,170,160,1495,23.4,0.602,0.42,0.514,1.6,8.7,5.1,39.3,1.3,0.2,12.0,22.9,12.7,2.8,15.5,0.254,6.2,0.1,6.2,6.1,0.7804878048780488,2.0
40,Steve Blake,2005,PG,POR,68,1781,206,470,0.438,76,184,0.413,130,286,0.455,0.519,72,91,0.791,26,120,146,306,42,5,83,107,560,14.5,0.549,0.391,0.194,1.7,8.2,4.9,29.0,1.3,0.2,14.0,15.8,3.0,-0.2,2.8,0.076,1.0,-2.0,-1.0,0.4,0.2560975609756097,0.0
41,Andray Blatche,2005,PF,WAS,29,175,26,67,0.388,3,13,0.231,23,54,0.426,0.41,10,12,0.833,12,26,38,10,5,7,12,36,65,10.1,0.45,0.194,0.179,7.7,17.8,12.6,9.5,1.5,3.1,14.2,21.5,-0.1,0.2,0.1,0.026,-4.9,-0.1,-5.0,-0.1,0.5121951219512195,0.0
42,Mark Blount,2005,C,TOT,81,2240,373,734,0.508,0,0,,373,734,0.508,0.508,168,222,0.757,96,269,365,99,40,76,194,254,914,12.1,0.549,0.0,0.302,5.3,14.2,9.8,7.8,1.0,2.6,18.9,21.4,-0.5,2.3,1.7,0.037,-2.9,-0.6,-3.4,-0.8,,0.0
42,Mark Blount,2005,C,BOS,39,1083,194,380,0.511,0,0,,194,380,0.511,0.511,97,127,0.764,36,126,162,66,15,36,120,107,485,12.0,0.556,0.0,0.334,4.2,13.8,9.1,10.8,0.7,2.5,21.6,23.6,-0.6,0.9,0.2,0.01,-2.7,-1.1,-3.7,-0.5,0.4024390243902439,0.0
42,Mark Blount,2005,C,MIN,42,1157,179,354,0.506,0,0,,179,354,0.506,0.506,71,95,0.747,60,143,203,33,25,40,74,147,429,12.1,0.542,0.0,0.268,6.4,14.5,10.5,5.0,1.2,2.6,15.8,19.3,0.1,1.4,1.5,0.063,-3.0,-0.1,-3.1,-0.3,0.4024390243902439,0.0
43,Keith Bogans,2005,SG-SF,TOT,72,1912,215,544,0.395,65,200,0.325,150,344,0.436,0.455,127,186,0.683,55,200,255,128,71,9,90,167,622,10.7,0.497,0.368,0.342,3.3,12.4,7.8,11.2,2.0,0.4,12.6,17.2,0.3,2.0,2.3,0.058,-1.8,0.5,-1.4,0.3,,0.0
43,Keith Bogans,2005,SG,CHA,39,848,114,288,0.396,33,98,0.337,81,190,0.426,0.453,80,105,0.762,29,77,106,45,39,3,41,78,341,12.4,0.51,0.34,0.365,3.7,11.3,7.2,8.7,2.4,0.3,10.9,19.6,0.4,0.7,1.2,0.066,-1.1,0.0,-1.0,0.2,0.3170731707317073,0.0
43,Keith Bogans,2005,SF,HOU,33,1064,101,256,0.395,32,102,0.314,69,154,0.448,0.457,47,81,0.58,26,123,149,83,32,6,49,89,281,9.3,0.482,0.398,0.316,2.9,13.3,8.2,13.3,1.6,0.5,14.4,15.3,-0.1,1.3,1.2,0.053,-2.5,0.9,-1.6,0.1,0.4146341463414634,0.0
44,Andrew Bogut,2005,PF,MIL,82,2348,323,606,0.533,0,3,0.0,323,603,0.536,0.533,122,194,0.629,189,384,573,192,49,68,125,259,768,15.2,0.555,0.005,0.32,9.4,19.8,14.5,13.4,1.1,2.3,15.3,15.9,3.1,2.4,5.5,0.113,-0.3,0.7,0.4,1.4,0.4878048780487805,0.0
45,Matt Bonner,2005,PF,TOR,78,1710,209,467,0.448,102,243,0.42,107,224,0.478,0.557,63,76,0.829,86,198,284,56,49,31,32,216,583,13.7,0.582,0.52,0.163,5.9,14.8,10.2,5.2,1.5,1.4,6.0,14.4,3.5,0.5,4.1,0.114,1.3,-0.6,0.7,1.2,0.3292682926829268,0.0
46,Calvin Booth,2005,C,WAS,33,250,20,47,0.426,1,2,0.5,19,45,0.422,0.436,5,9,0.556,19,33,52,12,9,9,8,44,46,8.9,0.451,0.043,0.191,8.6,15.8,12.1,7.2,1.9,2.8,13.6,10.5,0.1,0.3,0.4,0.07,-3.7,1.3,-2.3,0.0,0.5121951219512195,0.0
47,Carlos Boozer,2005,PF,UTA,33,1025,219,399,0.549,0,0,,219,399,0.549,0.549,99,137,0.723,73,212,285,88,30,8,69,105,537,21.4,0.585,0.0,0.343,8.6,25.3,16.9,18.0,1.6,0.6,13.1,23.9,2.2,1.3,3.5,0.162,2.4,-0.3,2.1,1.1,0.5,0.0
48,Chris Bosh,2005,C,TOR,70,2751,549,1087,0.505,0,13,0.0,549,1074,0.511,0.505,474,581,0.816,204,443,647,181,50,79,157,209,1572,23.2,0.585,0.012,0.534,8.7,20.6,14.4,11.8,1.0,2.3,10.5,25.2,8.7,1.1,9.8,0.17,3.9,-1.0,2.9,3.4,0.3292682926829268,0.0
49,Bruce Bowen,2005,SF,SAS,82,2755,232,536,0.433,104,245,0.424,128,291,0.44,0.53,51,84,0.607,35,285,320,126,79,30,67,191,619,9.1,0.54,0.457,0.157,1.5,11.9,6.9,6.8,1.6,0.8,10.5,11.1,1.7,4.5,6.2,0.108,-1.8,2.0,0.3,1.6,0.7682926829268293,0.0
50,Ryan Bowen,2005,SF,HOU,68,652,37,124,0.298,3,22,0.136,34,102,0.333,0.31,11,14,0.786,31,57,88,24,21,6,13,85,88,4.0,0.338,0.177,0.113,5.7,10.1,7.9,5.9,1.8,0.8,9.1,10.5,-0.6,0.8,0.2,0.012,-5.8,0.7,-5.1,-0.5,0.4146341463414634,0.0
51,Earl Boykins,2005,PG,DEN,60,1542,271,661,0.41,62,179,0.346,209,482,0.434,0.457,152,174,0.874,21,60,81,230,48,4,83,73,756,15.7,0.513,0.271,0.263,1.6,4.5,3.1,25.0,1.6,0.2,10.1,23.8,2.0,0.9,2.9,0.09,1.3,-1.3,0.0,0.7,0.5365853658536586,0.0
52,Michael Bradley,2005,PF,PHI,46,367,32,79,0.405,1,5,0.2,31,74,0.419,0.411,2,3,0.667,40,67,107,17,5,7,19,39,67,8.4,0.417,0.063,0.038,12.7,21.4,17.1,6.9,0.7,1.4,19.1,12.3,-0.2,0.3,0.1,0.019,-3.2,-1.4,-4.6,-0.2,0.4634146341463415,0.0
53,Elton Brand,2005,PF,LAC,79,3099,756,1435,0.527,1,3,0.333,755,1432,0.527,0.527,440,568,0.775,236,554,790,208,81,201,173,227,1953,26.5,0.58,0.002,0.396,9.3,19.9,14.8,13.1,1.4,4.9,9.3,27.7,9.3,5.5,14.8,0.229,5.1,1.6,6.7,6.8,0.573170731707317,2.0
54,Primož Brezec,2005,C,CHA,79,2165,409,791,0.517,0,2,0.0,409,789,0.518,0.517,164,224,0.732,181,259,440,45,19,32,85,227,982,15.3,0.552,0.003,0.283,9.1,14.8,11.8,3.7,0.5,1.1,8.7,20.0,3.4,1.2,4.6,0.102,-0.4,-2.0,-2.4,-0.2,0.3170731707317073,0.0
55,Devin Brown,2005,SG,UTA,81,1711,207,527,0.393,39,118,0.331,168,409,0.411,0.43,158,212,0.745,73,134,207,104,44,14,99,153,611,10.3,0.493,0.224,0.402,5.1,9.6,7.3,10.7,1.4,0.7,13.8,19.5,0.4,1.1,1.4,0.041,-2.1,-1.3,-3.3,-0.6,0.5,0.0
56,Kwame Brown,2005,C,LAL,72,1978,204,388,0.526,0,1,0.0,204,387,0.527,0.526,128,235,0.545,182,291,473,72,27,46,100,196,536,11.7,0.545,0.003,0.606,10.8,17.3,14.1,5.6,0.7,1.8,16.9,13.6,1.7,1.9,3.6,0.088,-1.7,-0.8,-2.5,-0.3,0.5487804878048781,0.0
57,P.J. Brown,2005,C,NOK,75,2380,269,583,0.461,0,0,,269,583,0.461,0.461,139,168,0.827,182,365,547,90,46,50,90,216,677,12.7,0.515,0.0,0.288,8.9,18.8,13.7,6.3,1.0,1.7,12.0,14.7,2.1,2.3,4.4,0.088,-1.3,-0.2,-1.5,0.3,0.4634146341463415,0.0
58,Rick Brunson,2005,PG,TOT,27,246,21,54,0.389,5,13,0.385,16,41,0.39,0.435,7,12,0.583,1,21,22,35,8,1,22,22,54,6.3,0.455,0.241,0.222,0.5,9.9,5.3,23.4,1.8,0.3,27.1,15.6,-0.4,0.2,-0.1,-0.025,-4.9,-0.2,-5.2,-0.2,,0.0
