Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
41,41,BRK,Pat Connaughton,Notre Dame,9,554,10836,3363,1914,759,.436,.358,.773,19.6,6.1,3.5,1.4,23.4,.104,-0.4,4.4
42,42,UTA,Olivier Hanlan,Boston College,,,,,,,,,,,,,,,,,
43,43,IND,Joe Young,Oregon,3,127,1077,429,130,119,.393,.296,.768,8.5,3.4,1.0,0.9,0.4,.016,-4.1,-0.6
44,44,PHO,Andrew Harrison,Kentucky,3,145,2987,1012,287,399,.373,.294,.779,20.6,7.0,2.0,2.8,3.2,.051,-2.8,-0.6
45,45,BOS,Marcus Thornton,William & Mary,,,,,,,,,,,,,,,,,
46,46,MIL,Norman Powell,UCLA,9,557,12980,6851,1458,816,.468,.394,.828,23.3,12.3,2.6,1.5,27.1,.100,-0.2,5.9
47,47,PHI,Artūras Gudaitis,,,,,,,,,,,,,,,,,,
48,48,OKC,Dakari Johnson,Kentucky,1,31,161,55,34,8,.564,,.550,5.2,1.8,1.1,0.3,0.6,.178,-0.3,0.1
49,49,WAS,Aaron White,Iowa,,,,,,,,,,,,,,,,,
50,50,ATL,Marcus Eriksson,,,,,,,,,,,,,,,,,,
51,51,ORL,Tyler Harvey,Eastern Washington,,,,,,,,,,,,,,,,,
52,52,DAL,Satnam Singh,,,,,,,,,,,,,,,,,,
53,53,CLE,Sir'Dominic Pointer,St. John's,,,,,,,,,,,,,,,,,
54,54,UTA,Dani Díez,,,,,,,,,,,,,,,,,,
55,55,SAS,Cady Lalanne,UMass,,,,,,,,,,,,,,,,,
56,56,NOP,Branden Dawson,Michigan State,1,6,29,5,4,0,.400,,1.000,4.8,0.8,0.7,0.0,0.0,.069,-5.7,0.0
57,57,DEN,Nikola Radičević,,,,,,,,,,,,,,,,,,
58,58,PHI,J.P. Tokoto,UNC,,,,,,,,,,,,,,,,,
59,59,ATL,Dimitrios Agravanis,,,,,,,,,,,,,,,,,,
60,60,PHI,Luka Mitrović,,,,,,,,,,,,,,,,,,
