Rk,Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
167,Keyonte George,PG,75,2023,319,815,0.391,147,440,0.334,172,375,0.459,0.482,189,223,0.848,15,196,211,332,36,7,188,91,974,10.4,0.533,0.54,0.274,0.8,10.6,5.7,23.1,0.9,0.3,17.1,22.8,-0.4,0.1,-0.3,-0.008,-1.5,-2.9,-4.4,-1.2
193,Mouhamed Gueye,PF,6,73,8,23,0.348,3,9,0.333,5,14,0.357,0.413,5,6,0.833,10,12,22,4,5,4,1,13,24,15.0,0.468,0.391,0.261,14.4,18.6,16.4,7.0,3.3,4.9,3.8,15.2,0.1,0.1,0.2,0.127,-2.1,0.6,-1.5,0.0
210,Jordan Hawkins,SG,67,1160,174,456,0.382,109,298,0.366,65,158,0.411,0.501,67,80,0.838,29,119,148,70,19,7,40,72,524,10.2,0.533,0.654,0.175,2.8,11.3,7.1,8.2,0.8,0.6,7.5,19.9,0.3,1.0,1.3,0.053,-1.3,-1.7,-3.1,-0.3
214,Scoot Henderson,PG,62,1765,307,797,0.385,87,268,0.325,220,529,0.416,0.44,167,204,0.819,53,141,194,336,48,13,212,195,868,9.5,0.489,0.336,0.256,3.2,9.5,6.2,29.9,1.3,0.7,19.3,26.5,-2.5,0.9,-1.7,-0.045,-3.5,-2.3,-5.8,-1.7
215,Taylor Hendricks,PF,40,856,108,240,0.45,53,140,0.379,55,100,0.55,0.56,23,29,0.793,46,139,185,32,28,30,27,77,292,11.8,0.578,0.583,0.121,6.0,17.7,11.9,5.0,1.6,3.1,9.7,13.7,0.7,0.6,1.2,0.07,-1.3,-0.4,-1.6,0.1
226,Jalen Hood-Schifino,SG,21,109,10,45,0.222,2,15,0.133,8,30,0.267,0.244,12,20,0.6,2,11,13,8,3,2,9,13,34,-1.5,0.316,0.333,0.444,2.1,10.7,6.6,9.1,1.3,1.6,14.3,24.9,-0.6,0.1,-0.5,-0.222,-12.4,-3.7,-16.1,-0.4
231,Jett Howard,SF,18,67,10,30,0.333,7,25,0.28,3,5,0.6,0.45,2,4,0.5,1,6,7,6,2,2,3,4,29,8.6,0.457,0.833,0.133,1.7,10.6,6.1,13.0,1.5,2.8,8.6,22.7,-0.1,0.1,0.0,0.005,-1.4,-0.3,-1.8,0.0
242,Andre Jackson Jr.,SG,57,572,50,100,0.5,17,46,0.37,33,54,0.611,0.585,8,11,0.727,43,70,113,50,16,6,28,92,125,8.5,0.596,0.46,0.11,8.4,13.1,10.8,10.8,1.3,0.9,21.1,10.0,0.5,0.5,1.0,0.081,-3.6,0.0,-3.6,-0.2
243,GG Jackson II,PF,48,1233,241,563,0.428,102,286,0.357,139,277,0.502,0.519,115,153,0.752,53,143,196,59,28,24,65,64,699,13.7,0.554,0.508,0.272,4.5,13.2,8.7,8.0,1.1,1.8,9.3,24.2,0.2,1.1,1.2,0.048,-0.2,-1.8,-2.0,0.0
249,Trayce Jackson-Davis,PF,68,1130,233,332,0.702,0,1,0.0,233,331,0.704,0.702,74,132,0.561,135,206,341,82,29,76,49,108,540,21.6,0.692,0.003,0.398,13.1,19.4,16.3,10.4,1.2,6.1,11.2,16.4,3.2,1.6,4.8,0.205,1.5,1.2,2.8,1.4
251,Jaime Jaquez Jr.,SF,75,2113,341,697,0.489,65,202,0.322,276,495,0.558,0.536,142,175,0.811,82,203,285,195,77,20,110,167,889,12.9,0.574,0.29,0.251,4.4,11.0,7.6,13.9,1.8,0.9,12.4,18.7,1.4,2.7,4.0,0.092,-2.2,0.3,-1.9,0.1
262,Keyontae Johnson,SF,9,66,5,16,0.313,1,3,0.333,4,13,0.308,0.344,0,0,,4,6,10,4,1,0,4,5,11,1.6,0.344,0.188,0.0,7.0,9.8,8.4,7.2,0.7,0.0,20.0,13.1,-0.1,0.1,-0.1,-0.068,-7.5,-2.2,-9.8,-0.1
264,Colby Jones,SG,30,192,28,71,0.394,2,22,0.091,26,49,0.531,0.408,6,11,0.545,17,23,40,20,7,5,10,29,64,8.9,0.422,0.31,0.155,9.7,13.7,11.7,13.9,1.8,2.4,11.6,19.1,-0.2,0.2,0.0,0.007,-5.4,0.4,-5.0,-0.1
296,Maxwell Lewis,SF,34,103,4,21,0.19,1,9,0.111,3,12,0.25,0.214,2,3,0.667,2,2,4,6,2,1,10,5,11,-3.9,0.246,0.429,0.143,2.3,2.1,2.2,6.8,0.9,0.8,30.9,13.6,-0.5,0.0,-0.4,-0.195,-10.3,-3.2,-13.5,-0.3
300,Dereck Lively II,C,55,1294,221,296,0.747,0,2,0.0,221,294,0.752,0.747,41,81,0.506,135,243,378,60,36,77,50,144,483,18.1,0.728,0.007,0.274,11.4,20.4,16.0,6.4,1.3,5.2,13.1,12.6,3.1,1.8,4.9,0.183,-0.3,0.8,0.5,0.8
302,Chris Livingston,SF,21,90,11,22,0.5,1,5,0.2,10,17,0.588,0.523,3,4,0.75,3,18,21,5,2,0,5,15,26,6.9,0.547,0.227,0.182,3.7,21.5,12.8,7.2,1.1,0.0,17.4,13.8,0.0,0.1,0.1,0.027,-7.0,-1.0,-8.0,-0.1
309,Seth Lundy,SF,9,52,4,17,0.235,3,13,0.231,1,4,0.25,0.324,3,4,0.75,1,6,7,0,0,0,1,6,14,0.0,0.373,0.765,0.235,2.0,13.1,7.3,0.0,0.0,0.0,5.1,15.8,-0.1,0.0,-0.1,-0.092,-7.7,-5.0,-12.7,-0.1
341,Brandon Miller,SF,74,2383,476,1083,0.44,184,493,0.373,292,590,0.495,0.524,143,173,0.827,60,255,315,175,66,42,132,184,1279,13.0,0.552,0.455,0.16,2.7,12.4,7.4,11.6,1.4,1.6,10.2,23.9,-0.3,1.0,0.8,0.015,-0.9,-1.6,-2.6,-0.3
342,Jordan Miller,SF,8,28,5,9,0.556,1,2,0.5,4,7,0.571,0.611,2,2,1.0,3,2,5,0,0,0,1,2,13,14.1,0.658,0.222,0.222,12.5,7.8,10.1,0.0,0.0,0.0,9.2,17.0,0.1,0.0,0.1,0.116,0.4,-4.2,-3.8,0.0
343,Leonard Miller,SF,17,52,13,20,0.65,2,5,0.4,11,15,0.733,0.7,1,2,0.5,5,15,20,8,2,1,1,5,29,27.0,0.694,0.25,0.1,11.5,31.3,21.8,25.5,1.9,1.7,4.6,18.6,0.2,0.1,0.3,0.323,5.9,3.7,9.6,0.2
344,Dariq Whitehead,SF,2,24,1,5,0.2,0,3,0.0,1,2,0.5,0.2,1,2,0.5,0,4,4,3,0,1,0,0,3,4.9,0.255,0.6,0.4,0.0,18.8,9.1,15.6,0.0,3.8,0.0,10.6,0.0,0.0,0.0,-0.03,-5.5,-2.4,-7.9,0.0
366,Kris Murray,SF,62,1348,145,366,0.396,49,183,0.268,96,183,0.525,0.463,37,56,0.661,85,139,224,80,53,21,55,92,376,9.0,0.481,0.5,0.153,6.7,12.3,9.3,8.4,1.9,1.4,12.3,14.1,-0.4,1.0,0.7,0.024,-3.5,-0.2,-3.6,-0.6
396,Julian Phillips,SF,40,323,32,77,0.416,12,38,0.316,20,39,0.513,0.494,13,19,0.684,12,24,36,13,7,7,10,40,89,7.0,0.521,0.494,0.247,4.1,8.5,6.2,5.3,1.1,2.2,10.5,13.0,0.0,0.2,0.2,0.031,-4.7,-0.6,-5.3,-0.3
397,Jalen Pickett,SG,27,122,15,35,0.429,9,25,0.36,6,10,0.6,0.557,3,4,0.75,1,13,14,21,4,0,9,13,42,9.7,0.571,0.714,0.114,0.9,11.5,6.4,21.7,1.6,0.0,19.7,16.4,0.0,0.1,0.2,0.065,-2.7,-0.5,-3.3,0.0
400,Brandin Podziemski,SG,74,1968,271,597,0.454,90,234,0.385,181,363,0.499,0.529,50,79,0.633,118,309,427,273,61,14,88,122,682,13.0,0.54,0.392,0.132,6.6,16.7,11.7,18.1,1.5,0.6,12.2,15.4,2.1,2.0,4.1,0.1,-0.5,0.4,-0.1,0.9
417,Olivier-Maxence Prosper,PF,40,336,40,104,0.385,13,45,0.289,27,59,0.458,0.447,28,41,0.683,25,54,79,22,7,4,8,20,121,11.6,0.496,0.433,0.394,8.2,17.5,12.8,8.4,1.0,1.0,6.2,16.6,0.2,0.3,0.5,0.076,-1.7,-1.3,-2.9,-0.1
441,Rayan Rupert,SG,39,633,54,161,0.335,28,78,0.359,26,83,0.313,0.422,19,25,0.76,24,68,92,62,12,3,31,56,155,5.8,0.451,0.484,0.155,4.0,12.8,8.1,13.5,0.9,0.4,15.3,13.6,-0.4,0.3,-0.1,-0.009,-5.6,-1.2,-6.7,-0.8
451,Marcus Sasser,PG,71,1351,219,512,0.428,90,240,0.375,129,272,0.474,0.516,58,66,0.879,11,114,125,236,44,12,90,103,586,11.8,0.542,0.469,0.129,0.9,9.6,5.2,25.4,1.6,0.8,14.3,19.9,0.3,0.6,0.9,0.033,-1.5,-1.1,-2.6,-0.2
456,Brice Sensabaugh,SF,32,584,85,218,0.39,34,115,0.296,51,103,0.495,0.468,37,41,0.902,16,86,102,55,13,6,47,43,241,8.6,0.511,0.528,0.188,3.0,16.1,9.6,13.0,1.1,0.9,16.6,20.3,-0.5,0.2,-0.3,-0.024,-3.3,-2.1,-5.5,-0.5
461,Ben Sheppard,SG,57,814,90,229,0.393,49,156,0.314,41,73,0.562,0.5,23,26,0.885,15,74,89,53,33,2,15,88,252,8.1,0.524,0.681,0.114,2.1,10.3,6.2,7.5,1.9,0.2,5.9,13.2,0.3,0.4,0.8,0.046,-3.3,-0.1,-3.4,-0.3
469,Jalen Slawson,SF,12,37,4,6,0.667,0,2,0.0,4,4,1.0,0.667,0,0,,1,6,7,2,1,1,2,8,8,6.6,0.667,0.333,0.0,3.0,18.6,10.6,6.9,1.3,2.5,25.0,9.2,0.0,0.0,0.0,0.058,-7.5,1.1,-6.4,0.0
477,Nick Smith Jr.,SG,51,729,113,289,0.391,63,146,0.432,50,143,0.35,0.5,13,15,0.867,18,54,72,59,10,7,39,55,302,8.1,0.511,0.505,0.052,2.7,8.6,5.5,12.0,0.7,0.9,11.7,20.3,-0.6,0.1,-0.5,-0.036,-3.1,-2.8,-5.9,-0.7
484,Julian Strawther,SF,50,545,82,222,0.369,41,138,0.297,41,84,0.488,0.462,22,31,0.71,5,56,61,47,17,7,23,54,227,8.2,0.482,0.622,0.14,1.0,11.1,6.2,11.3,1.5,1.1,8.9,20.7,-0.4,0.6,0.2,0.015,-4.6,-1.4,-6.0,-0.6
496,Amen Thompson,SF,62,1388,239,446,0.536,8,58,0.138,231,388,0.595,0.545,106,155,0.684,148,261,409,163,78,38,90,141,592,18.2,0.576,0.13,0.348,11.3,20.4,15.8,17.0,2.7,2.5,14.9,18.5,1.9,2.4,4.3,0.149,-0.1,1.9,1.8,1.3
497,Ausar Thompson,SF,63,1583,232,480,0.483,21,113,0.186,211,367,0.575,0.505,71,119,0.597,129,273,402,120,68,59,84,175,556,12.8,0.522,0.235,0.248,8.9,19.6,14.2,10.8,2.1,3.2,13.6,16.6,0.1,1.7,1.8,0.053,-2.8,0.6,-2.2,-0.1
511,Hunter Tyson,PF,18,48,8,20,0.4,4,14,0.286,4,6,0.667,0.5,0,0,,1,8,9,2,1,0,2,10,20,6.0,0.5,0.7,0.0,2.4,18.0,10.4,5.6,1.0,0.0,9.1,20.0,0.0,0.1,0.0,0.007,-6.8,-2.1,-8.9,-0.1
520,Tristan Vukcevic,C,10,153,29,67,0.433,10,36,0.278,19,31,0.613,0.507,17,22,0.773,6,30,36,13,5,7,10,28,85,13.9,0.554,0.537,0.328,4.1,21.5,12.6,12.1,1.5,3.7,11.5,23.9,0.0,0.1,0.1,0.045,-3.5,-0.1,-3.6,-0.1
526,Jarace Walker,PF,33,340,45,110,0.409,22,55,0.4,23,55,0.418,0.509,8,9,0.889,12,51,63,40,15,11,17,29,120,11.8,0.527,0.5,0.082,4.0,17.0,10.5,13.9,2.1,2.6,13.0,16.1,0.1,0.3,0.4,0.058,-0.5,0.7,0.2,0.2
528,Cason Wallace,SG,82,1692,217,442,0.491,98,234,0.419,119,208,0.572,0.602,29,37,0.784,52,135,187,120,76,37,45,129,561,12.0,0.612,0.529,0.084,3.6,8.6,6.2,8.9,2.2,2.0,8.9,12.9,1.9,2.1,4.0,0.115,-0.9,1.0,0.1,0.9
529,Jordan Walsh,SF,9,83,6,15,0.4,2,9,0.222,4,6,0.667,0.467,1,2,0.5,5,15,20,5,5,1,3,11,15,8.4,0.472,0.6,0.133,6.8,18.7,13.0,7.2,3.0,1.1,15.9,9.9,0.0,0.2,0.2,0.089,-5.6,1.8,-3.8,0.0
537,Victor Wembanyama,C,71,2106,551,1186,0.465,128,394,0.325,423,792,0.534,0.519,292,367,0.796,161,594,755,274,88,254,260,153,1522,23.1,0.565,0.332,0.309,8.2,30.7,19.4,21.5,2.0,10.0,16.2,32.2,-0.7,4.4,3.7,0.085,1.9,3.3,5.2,3.8
543,Cam Whitmore,SF,47,880,212,467,0.454,79,220,0.359,133,247,0.538,0.539,76,112,0.679,44,136,180,33,30,17,46,64,579,16.6,0.561,0.471,0.24,5.3,16.7,11.0,6.0,1.7,1.8,8.2,27.1,0.4,1.1,1.5,0.082,1.0,-0.9,0.1,0.5
562,Jalen Wilson,PF,43,664,76,179,0.425,24,74,0.324,52,105,0.495,0.492,38,46,0.826,47,84,131,45,11,4,19,48,214,10.8,0.537,0.413,0.257,7.5,14.2,10.8,9.3,0.8,0.5,8.7,14.3,0.6,0.4,1.1,0.077,-1.8,-1.1,-2.9,-0.2
565,Isaiah Wong,SG,1,4,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,0,,0,0,0,0,0,0,0,0,2,-1.1,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,0.0,0.0,0.0,-0.277,-11.3,-7.7,-19.0,0.0
